title,rating,price,availability,category
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Three,42.12,In stock,Sequential Art
"Saga, Volume 1 (Saga (Collected Editions) #1)",One,28.48,In stock,Sequential Art
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Five,46.96,In stock,Sequential Art
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Four,21.71,In stock,Sequential Art
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",Three,29.87,In stock,Sequential Art
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",Four,39.39,In stock,Sequential Art
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Three,45.24,In stock,Sequential Art
"Giant Days, Vol. 1 (Giant Days #1-4)",Four,56.76,In stock,Sequential Art
"Fruits Basket, Vol. 1 (Fruits Basket #1)",Five,40.28,In stock,Sequential Art
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Five,34.65,In stock,Sequential Art
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",Four,57.06,In stock,Sequential Art
The Secret Garden,Four,15.08,In stock,Classics
The Metamorphosis,One,28.58,In stock,Classics
The Pilgrim's Progress,Two,50.26,In stock,Classics
The Hound of the Baskervilles (Sherlock Holmes #5),Two,14.82,In stock,Classics
Little Women (Little Women #1),Four,28.07,In stock,Classics
Gone with the Wind,Three,32.49,In stock,Classics
Candide,Three,58.63,In stock,Classics
Animal Farm,Three,57.22,In stock,Classics
Wuthering Heights,Three,17.73,In stock,Classics
The Picture of Dorian Gray,Two,29.7,In stock,Classics
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Four,26.78,In stock,Classics
Beowulf,Two,38.35,In stock,Classics
And Then There Were None,Two,35.01,In stock,Classics
The Story of Hong Gildong,Four,43.19,In stock,Classics
The Little Prince,Two,45.42,In stock,Classics
Sense and Sensibility,One,37.46,In stock,Classics
Of Mice and Men,Two,47.11,In stock,Classics
Emma,Two,32.93,In stock,Classics
Alice in Wonderland (Alice's Adventures in Wonderland #1),One,55.53,In stock,Classics
Sophie's World,Five,15.94,In stock,Philosophy
The Death of Humanity: and the Case for Life,Four,58.11,In stock,Philosophy
The Stranger,Four,17.44,In stock,Philosophy
Proofs of God: Classical Arguments from Tertullian to Barth,One,54.21,In stock,Philosophy
Kierkegaard: A Christian Missionary to Christians,One,47.13,In stock,Philosophy
"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Five,29.93,In stock,Philosophy
Critique of Pure Reason,One,20.75,In stock,Philosophy
"Run, Spot, Run: The Ethics of Keeping Pets",One,20.02,In stock,Philosophy
The Nicomachean Ethics,One,36.34,In stock,Philosophy
Meditations,Two,25.89,In stock,Philosophy
Beyond Good and Evil,One,43.38,In stock,Philosophy
Chase Me (Paris Nights #2),Five,25.27,In stock,Romance
Black Dust,Five,34.53,In stock,Romance
Her Backup Boyfriend (The Sorensen Family #1),One,33.97,In stock,Romance
First and First (Five Boroughs #3),Four,15.97,In stock,Romance
Fifty Shades Darker (Fifty Shades #2),One,21.96,In stock,Romance
The Wedding Dress,One,24.12,In stock,Romance
Suddenly in Love (Lake Haven #1),Two,55.99,In stock,Romance
Something More Than This,Four,16.24,In stock,Romance
Doing It Over (Most Likely To #1),Three,35.61,In stock,Romance
The Wedding Pact (The O'Malleys #2),Three,32.61,In stock,Romance
Hold Your Breath (Search and Rescue #1),One,28.82,In stock,Romance
Dirty (Dive Bar #1),Four,40.83,In stock,Romance
Take Me Home Tonight (Rock Star Romance #3),Three,53.98,In stock,Romance
Off the Hook (Fishing for Trouble #1),Three,47.67,In stock,Romance
A Gentleman's Position (Society of Gentlemen #3),Five,14.75,In stock,Romance
"Sit, Stay, Love",Three,20.9,In stock,Romance
A Girl's Guide to Moving On (New Beginnings #2),One,31.3,In stock,Romance
The Perfect Play (Play by Play #1),Three,59.99,In stock,Romance
Dark Lover (Black Dagger Brotherhood #1),One,12.87,In stock,Romance
Changing the Game (Play by Play #2),Three,13.38,In stock,Romance
A Walk to Remember,One,56.43,In stock,Romance
The Purest Hook (Second Circle Tattoos #3),One,12.25,In stock,Romance
The Obsession,One,45.43,In stock,Romance
Reservations for Two,Three,11.1,In stock,Romance
Best of My Love (Fool's Gold #20),Two,27.41,In stock,Romance
Where Lightning Strikes (Bleeding Stars #3),Three,39.77,In stock,Romance
This One Moment (Pushing Limits #1),One,48.71,In stock,Romance
"Rhythm, Chord & Malykhin",Two,28.34,In stock,Romance
My Perfect Mistake (Over the Top #1),Two,38.92,In stock,Romance
Listen to Me (Fusion #1),Three,58.99,In stock,Romance
Imperfect Harmony,Four,34.74,In stock,Romance
Fighting Fate (Fighting #6),Three,39.24,In stock,Romance
Deep Under (Walker Security #1),Five,47.09,In stock,Romance
Charity's Cross (Charles Towne Belles #4),One,41.24,In stock,Romance
Bounty (Colorado Mountain #7),Four,37.26,In stock,Romance
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Four,57.36,In stock,Womens Fiction
Will You Won't You Want Me?,Three,13.86,In stock,Womens Fiction
Keep Me Posted,Four,20.46,In stock,Womens Fiction
Grey (Fifty Shades #4),Four,48.49,In stock,Womens Fiction
Meternity,Three,43.58,In stock,Womens Fiction
Some Women,Five,13.73,In stock,Womens Fiction
Shopaholic Ties the Knot (Shopaholic #3),Five,48.39,In stock,Womens Fiction
Can You Keep a Secret?,One,21.94,In stock,Womens Fiction
Twenties Girl,Two,42.8,In stock,Womens Fiction
The Undomestic Goddess,Four,45.75,In stock,Womens Fiction
The Nanny Diaries (Nanny #1),Five,52.53,In stock,Womens Fiction
The Devil Wears Prada (The Devil Wears Prada #1),One,44.29,In stock,Womens Fiction
Something Borrowed (Darcy & Rachel #1),Five,48.96,In stock,Womens Fiction
Something Blue (Darcy & Rachel #2),One,54.62,In stock,Womens Fiction
I've Got Your Number,One,19.69,In stock,Womens Fiction
The Edge of Reason (Bridget Jones #2),Four,19.18,In stock,Womens Fiction
Bridget Jones's Diary (Bridget Jones #1),One,29.82,In stock,Womens Fiction
Soumission,One,50.1,In stock,Fiction
Private Paris (Private #10),Five,47.61,In stock,Fiction
"We Love You, Charlie Freeman",Five,50.27,In stock,Fiction
Thirst,Five,17.27,In stock,Fiction
The Murder That Never Was (Forensic Instincts #5),Three,54.11,In stock,Fiction
Tuesday Nights in 1980,Two,21.04,In stock,Fiction
The Vacationers,Four,42.15,In stock,Fiction
The Regional Office Is Under Attack!,Five,51.36,In stock,Fiction
Finders Keepers (Bill Hodges Trilogy #2),Five,53.53,In stock,Fiction
The Time Keeper,Five,27.88,In stock,Fiction
The Testament of Mary,Four,52.67,In stock,Fiction
The First Hostage (J.B. Collins #2),Three,25.85,In stock,Fiction
Take Me with You,Three,45.21,In stock,Fiction
Still Life with Bread Crumbs,Three,26.41,In stock,Fiction
Shtum,Four,55.84,In stock,Fiction
My Name Is Lucy Barton,One,41.56,In stock,Fiction
My Mrs. Brown,Three,24.48,In stock,Fiction
Mr. Mercedes (Bill Hodges Trilogy #1),One,28.9,In stock,Fiction
I Am Pilgrim (Pilgrim #1),Four,10.6,In stock,Fiction
Eligible (The Austen Project #4),Three,27.09,In stock,Fiction
Eight Hundred Grapes,Four,14.39,In stock,Fiction
Dear Mr. Knightley,Five,11.21,In stock,Fiction
Cometh the Hour (The Clifton Chronicles #6),Three,25.01,In stock,Fiction
Balloon Animals,Three,17.03,In stock,Fiction
A Man Called Ove,One,39.72,In stock,Fiction
The Silent Sister (Riley MacPherson #1),Five,46.29,In stock,Fiction
The Dinner Party,Two,56.54,In stock,Fiction
The Improbability of Love,One,59.45,In stock,Fiction
Mothering Sunday,Two,13.34,In stock,Fiction
Lies and Other Acts of Love,One,45.14,In stock,Fiction
Daredevils,Three,16.34,In stock,Fiction
11/22/63,Three,48.48,In stock,Fiction
The Shack,One,28.03,In stock,Fiction
The High Mountains of Portugal,One,51.15,In stock,Fiction
Miller's Valley,Two,58.54,In stock,Fiction
Hystopia: A Novel,Four,21.96,In stock,Fiction
The Bourne Identity (Jason Bourne #1),Four,42.78,In stock,Fiction
Sister Dear,Four,40.2,In stock,Fiction
Memoirs of a Geisha,Three,49.67,In stock,Fiction
Me Before You (Me Before You #1),One,19.02,In stock,Fiction
Deception Point,Four,40.32,In stock,Fiction
The Little Paris Bookshop,Three,24.73,In stock,Fiction
The Firm,Three,45.56,In stock,Fiction
The Expatriates,Two,44.58,In stock,Fiction
Siddhartha,Five,34.22,In stock,Fiction
Last One Home (New Beginnings #1),Three,59.98,In stock,Fiction
Digital Fortress,Five,58.0,In stock,Fiction
Atlas Shrugged,Five,26.58,In stock,Fiction
Three-Martini Lunch,Three,23.21,In stock,Fiction
The Nightingale,Four,26.26,In stock,Fiction
The Infinities,One,27.41,In stock,Fiction
The Husband's Secret,Five,52.51,In stock,Fiction
The Da Vinci Code (Robert Langdon #2),Two,22.96,In stock,Fiction
The Art of Fielding,One,22.1,In stock,Fiction
Lila (Gilead #3),Three,12.47,In stock,Fiction
Jurassic Park (Jurassic Park #1),One,44.97,In stock,Fiction
Inferno (Robert Langdon #4),Five,41.0,In stock,Fiction
Crazy Rich Asians (Crazy Rich Asians #1),Five,49.13,In stock,Fiction
Big Little Lies,One,22.11,In stock,Fiction
The Course of Love,Three,16.78,In stock,Fiction
When I'm Gone,Three,51.96,In stock,Fiction
The Silent Wife,Five,12.34,In stock,Fiction
The Bette Davis Club,Three,30.66,In stock,Fiction
Kitchens of the Great Midwest,Five,57.2,In stock,Fiction
Bright Lines,Five,39.07,In stock,Fiction
Birdsong: A Story in Pictures,Three,54.64,In stock,Childrens
The Bear and the Piano,One,36.89,In stock,Childrens
The Secret of Dreadwillow Carse,One,56.13,In stock,Childrens
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Four,58.08,In stock,Childrens
Little Red,Three,13.47,In stock,Childrens
Walt Disney's Alice in Wonderland,Five,12.96,In stock,Childrens
Twenty Yawns,Two,22.08,In stock,Childrens
Rain Fish,Three,23.57,In stock,Childrens
Once Was a Time,Two,18.28,In stock,Childrens
Luis Paints the World,Three,53.95,In stock,Childrens
Nap-a-Roo,One,25.08,In stock,Childrens
The Whale,Four,35.96,In stock,Childrens
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",Three,52.87,In stock,Childrens
Raymie Nightingale,Two,34.41,In stock,Childrens
Playing from the Heart,One,32.38,In stock,Childrens
Maybe Something Beautiful: How Art Transformed a Neighborhood,One,22.54,In stock,Childrens
The Wild Robot,Three,56.07,In stock,Childrens
The Thing About Jellyfish,One,48.77,In stock,Childrens
The Lonely Ones,Five,43.59,In stock,Childrens
The Day the Crayons Came Home (Crayons),Five,26.33,In stock,Childrens
The Cat in the Hat (Beginner Books B-1),Two,16.26,In stock,Childrens
Red: The True Story of Red Riding Hood,Three,28.54,In stock,Childrens
Horrible Bear!,Two,37.52,In stock,Childrens
Green Eggs and Ham (Beginner Books B-16),Four,10.79,In stock,Childrens
Counting Thyme,One,10.62,In stock,Childrens
Are We There Yet?,Three,10.66,In stock,Childrens
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),Four,52.88,In stock,Childrens
Matilda,One,28.34,In stock,Childrens
Charlie and the Chocolate Factory (Charlie Bucket #1),Three,22.85,In stock,Childrens
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Two,37.97,In stock,Religion
You Are What You Love: The Spiritual Power of Habit,Four,21.87,In stock,Religion
God: The Most Unpleasant Character in All Fiction,Five,30.03,In stock,Religion
The Book of Mormon,Three,24.57,In stock,Religion
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",One,27.62,In stock,Religion
The Bhagavad Gita,Three,57.49,In stock,Religion
Choosing Our Religion: The Spiritual Lives of America's Nones,Four,28.42,In stock,Religion
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Five,40.3,In stock,Nonfiction
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Three,31.05,In stock,Nonfiction
Reasons to Stay Alive,Two,26.41,In stock,Nonfiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Five,23.11,In stock,Nonfiction
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Four,44.18,In stock,Nonfiction
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Three,31.12,In stock,Nonfiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Three,16.77,In stock,Nonfiction
The Gutsy Girl: Escapades for Your Life of Epic Adventure,One,37.13,In stock,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,One,56.06,In stock,Nonfiction
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Four,41.83,In stock,Nonfiction
Reskilling America: Learning to Labor in the Twenty-First Century,Two,19.83,In stock,Nonfiction
In the Country We Love: My Family Divided,Four,22.0,In stock,Nonfiction
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Two,54.35,In stock,Nonfiction
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Five,29.14,In stock,Nonfiction
Algorithms to Live By: The Computer Science of Human Decisions,One,30.81,In stock,Nonfiction
The Power of Now: A Guide to Spiritual Enlightenment,Two,43.54,In stock,Nonfiction
The Omnivore's Dilemma: A Natural History of Four Meals,Two,38.21,In stock,Nonfiction
The Genius of Birds,One,17.24,In stock,Nonfiction
The Artist's Way: A Spiritual Path to Higher Creativity,Five,38.49,In stock,Nonfiction
So You've Been Publicly Shamed,Two,12.23,In stock,Nonfiction
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Three,19.43,In stock,Nonfiction
Big Magic: Creative Living Beyond Fear,Three,30.8,In stock,Nonfiction
Becoming Wise: An Inquiry into the Mystery and Art of Living,Two,27.43,In stock,Nonfiction
Agnostic: A Spirited Manifesto,Five,12.51,In stock,Nonfiction
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Four,38.2,In stock,Nonfiction
What's It Like in Space?: Stories from Astronauts Who've Been There,Two,19.6,In stock,Nonfiction
The Year of Magical Thinking,Two,43.04,In stock,Nonfiction
The Literature Book (Big Ideas Simply Explained),Three,17.43,In stock,Nonfiction
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,One,15.77,In stock,Nonfiction
Swell: A Year of Waves,One,45.58,In stock,Nonfiction
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Two,21.95,In stock,Nonfiction
Looking for Lovely: Collecting the Moments that Matter,Five,29.14,In stock,Nonfiction
Let It Out: A Journey Through Journaling,Five,26.79,In stock,Nonfiction
Hamilton: The Revolution,Three,58.79,In stock,Nonfiction
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",Four,15.06,In stock,Nonfiction
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Five,51.75,In stock,Nonfiction
Buying In: The Secret Dialogue Between What We Buy and Who We Are,Four,37.8,In stock,Nonfiction
Brain on Fire: My Month of Madness,Five,49.32,In stock,Nonfiction
Abstract City,Five,56.37,In stock,Nonfiction
13 Hours: The Inside Account of What Really Happened In Benghazi,One,27.06,In stock,Nonfiction
The Lonely City: Adventures in the Art of Being Alone,Two,33.26,In stock,Nonfiction
The Diary of a Young Girl,Three,59.9,In stock,Nonfiction
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Three,21.21,In stock,Nonfiction
Furiously Happy: A Funny Book About Horrible Things,Four,41.46,In stock,Nonfiction
"The Sleep Revolution: Transforming Your Life, One Night at a Time",Four,11.68,In stock,Nonfiction
"Mother, Can You Not?",Five,16.89,In stock,Nonfiction
A Mother's Reckoning: Living in the Aftermath of Tragedy,Three,19.53,In stock,Nonfiction
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Two,24.57,In stock,Nonfiction
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,Two,35.92,In stock,Nonfiction
"Zero to One: Notes on Startups, or How to Build the Future",Three,34.06,In stock,Nonfiction
Why Not Me?,One,17.76,In stock,Nonfiction
When Breath Becomes Air,Two,39.36,In stock,Nonfiction
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",Four,28.45,In stock,Nonfiction
Smarter Faster Better: The Secrets of Being Productive in Life and Business,Five,38.89,In stock,Nonfiction
Rising Strong,Three,21.82,In stock,Nonfiction
Man's Search for Meaning,Three,29.48,In stock,Nonfiction
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",Two,25.06,In stock,Nonfiction
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,Three,12.55,In stock,Nonfiction
I Will Find You,One,44.21,In stock,Nonfiction
Brazen: The Courage to Find the You That's Been Hiding,Two,19.22,In stock,Nonfiction
Between the World and Me,Four,56.91,In stock,Nonfiction
Being Mortal: Medicine and What Matters in the End,Four,55.06,In stock,Nonfiction
"A Murder Over a Girl: Justice, Gender, Junior High",Three,13.2,In stock,Nonfiction
For the Love: Fighting for Grace in a World of Impossible Standards,Three,45.13,In stock,Nonfiction
